# Date:           2013-09-02T09:59:12.798267
# Device:         None
# LOG file:       em3d.log
# Frequency band: +20.000e9 : +30.000e10
# Freq points:    +201
# Parameters:     S21
# RepRap points   X(10) Y(10) Z(10) number
# Resolution:     XY(10.0) Z(1.0) mm
# Volume:         1000
60.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
70.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
80.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
90.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
100.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
0.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
10.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
20.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
30.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
40.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
50.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
60.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
70.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
80.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
90.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
100.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
0.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
10.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
20.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
30.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
40.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
50.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
60.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
70.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
80.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
90.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
100.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
0.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
10.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
20.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
30.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
40.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
50.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
60.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
70.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
80.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
90.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
100.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
0.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
10.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
20.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
30.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
40.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
50.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
60.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
70.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
80.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
90.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
100.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
0.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
10.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
20.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
30.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
40.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
50.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
60.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
70.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
80.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
90.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
100.00	-1.00	0.00	+2.80000000000E+010	+2.80100000000E+010
